Course,Year,Semester,Instructor,Slot,Mode,Scheduled
CS 46,2025,Spring,Nathan Samarasena,TR|04:30PM-05:45PM,In Person,0
CS 47,2022,Fall,Kaushik Patra,TR|06:00PM-07:15PM,Fully Online,1
CS 47,2022,Fall,Yan Chen,MW|10:30AM-11:45AM,Fully Online,0
CS 47,2022,Fall,Qi Yang,MW|12:00PM-01:15PM,Fully Online,0
CS 47,2022,Fall,Matthew Leigh,MW|10:30AM-11:45AM,In Person,0
CS 47,2022,Fall,Nada Attar,MW|10:30AM-11:45AM,In Person,0
CS 47,2022,Fall,Brenda Serrano,MW|10:30AM-11:45AM,In Person,0
CS 47,2022,Spring,Chung-Wen Tsao,MW|10:30AM-11:45AM,In Person,1
CS 47,2022,Spring,Kaushik Patra,TR|06:00PM-07:15PM,Fully Online,1
CS 47,2022,Spring,Lucero Sandoval,TR|06:00PM-07:15PM,In Person,0
CS 47,2022,Spring,Azadeh Shahid Faylienejad,TR|03:00PM-04:15PM,Fully Online,0
CS 47,2022,Spring,Yan Chen,MW|12:00PM-01:15PM,In Person,0
CS 47,2022,Spring,William Andreopoulos,MW|10:30AM-11:45AM,In Person,0
CS 47,2022,Spring,Amin Termeh Yousefi,TR|12:00PM-01:15PM,In Person,0
CS 47,2022,Spring,Thuy Le / Sotoudeh Hamedi-Hagh,TR|03:00PM-04:15PM,In Person,0
CS 47,2022,Spring,Priyanka Gopinath,TR|06:00PM-07:15PM,In Person,0
CS 47,2022,Spring,Jonathan Miller / Simone Yeager,MW|10:30AM-11:45AM,Fully Online,0
CS 47,2022,Spring,Minh Vu,MW|12:00PM-01:15PM,In Person,0
CS 47,2022,Spring,Ivy Tran,MW|01:30PM-02:45PM,Fully Online,0
CS 47,2023,Fall,Kaushik Patra,TR|06:00PM-07:15PM,Fully Online,1
CS 47,2023,Fall,Robert Meyer / Carlie Pietsch,TR|12:00PM-01:15PM,In Person,0
CS 47,2023,Fall,Karen Singmaster,TR|06:00PM-07:15PM,In Person,0
CS 47,2023,Fall,Daniel Olson,MW|10:30AM-11:45AM,Fully Online,0
CS 47,2023,Fall,Elizabeth Sonnier,TR|01:30PM-02:45PM,Fully Online,0
CS 47,2023,Fall,Thuy Le / Sotoudeh Hamedi-Hagh,TR|03:00PM-04:15PM,Fully Online,0
CS 47,2023,Spring,Kaushik Patra,TR|07:30PM-08:45,Fully Online,1
CS 47,2023,Spring,Danny Barringer,MW|10:30AM-11:45AM,Fully Online,0
CS 47,2023,Spring,Nick Sobrepena,TR|03:00PM-04:15PM,In Person,0
CS 47,2023,Spring,Marion Campisi,TR|01:30PM-02:45PM,Fully Online,0
CS 47,2023,Spring,Noel Smith Dasi,MW|01:30PM-02:45PM,Fully Online,0
CS 47,2023,Spring,Tyeshia Sapp,TR|06:00PM-07:15PM,Fully Online,0
CS 47,2024,Fall,Seshadri Paravastu,TR|12:00PM-01:15PM,In Person,1
CS 47,2024,Fall,Chung-Wen Tsao,TR|03:00PM-04:15PM,In Person,1
CS 47,2024,Fall,Michael Lam,MW|10:30AM-11:45AM,Fully Online,0
CS 47,2024,Fall,Wencen Wu,TR|12:00PM-01:15PM,In Person,0
CS 47,2024,Fall,Yuching Yang,TR|03:00PM-04:15PM,In Person,0
CS 47,2024,Fall,Jonathan Lauffer,TR|07:30PM-08:45,In Person,0
CS 47,2024,Fall,Dashiell Fryer,TR|03:00PM-04:15PM,Fully Online,0
CS 47,2024,Fall,Barbara Murphywesley,MW|10:30AM-11:45AM,In Person,0
CS 47,2024,Fall,Misako Van Der Poel,MW|12:00PM-01:15PM,Fully Online,0
CS 47,2024,Fall,Kristin Fitzpatrick Ezell,MW|12:00PM-01:15PM,In Person,0
CS 47,2024,Fall,Andrew Kinter,MW|10:30AM-11:45AM,In Person,0
CS 47,2024,Fall,Samuel Michael,TR|06:00PM-07:15PM,In Person,0
CS 47,2024,Spring,Chung-Wen Tsao,MW|12:00PM-01:15PM,In Person,1
CS 47,2024,Spring,Pranavi Chaturvedula,MW|01:30PM-02:45PM,In Person,1
CS 47,2024,Spring,Bhawandeep Singh Harsh / Harjot Singh,TR|06:00PM-07:15PM,In Person,0
CS 47,2024,Spring,Curtis Asplund,TR|12:00PM-01:15PM,In Person,0
CS 47,2024,Spring,Kala Padmanabhan,TR|07:30PM-08:45,In Person,0
CS 47,2024,Spring,Olenka Hubickyj,TR|07:30PM-08:45,In Person,0
CS 47,2024,Spring,Pavan Nageswar Reddy Bodavarapu,MW|12:00PM-01:15PM,Fully Online,0
CS 47,2024,Spring,Niloofar Salehi,TR|03:00PM-04:15PM,Fully Online,0
CS 47,2024,Spring,Adam Smith,MW|01:30PM-02:45PM,Fully Online,0
CS 47,2024,Spring,Faith Kirk,MW|12:00PM-01:15PM,Fully Online,0
CS 47,2024,Spring,Devam Sanjay Sheth,TR|01:30PM-02:45PM,In Person,0
CS 47,2024,Spring,Padmavati Tanniru,TR|07:30PM-08:45,In Person,0
CS 47,2025,Spring,Kaushik Patra,TR|06:00PM-07:15PM,In Person,1
CS 47,2025,Spring,Seshadri Paravastu,TR|01:30PM-02:45PM,In Person,1
CS 47,2025,Spring,Baixue Zhang,TR|01:30PM-02:45PM,Fully Online,0
CS 47,2025,Spring,Carl Bugarin,TR|06:00PM-07:15PM,Fully Online,0
CS 47,2025,Spring,Yan Chen,TR|06:00PM-07:15PM,Fully Online,0
CS 47,2025,Spring,Aditya Nagaraj Shanbhog,MW|12:00PM-01:15PM,In Person,0
CS 47,2025,Spring,Sahika Vatan,TR|12:00PM-01:15PM,Fully Online,0
CS 47,2025,Spring,David Parent,TR|06:00PM-07:15PM,In Person,0
CS 47,2025,Spring,William Hong,TR|01:30PM-02:45PM,Fully Online,0
CS 47,2025,Spring,Johnny Damm,TR|03:00PM-04:15PM,Fully Online,0
CS 47,2025,Spring,Frank Lin,MW|12:00PM-01:15PM,Fully Online,0
CS 47,2025,Spring,Ryan Smith,MW|10:30AM-11:45AM,Fully Online,0
EE 102,2022,Fall,Nader Mir,MW|09:00AM-10:15AM,Hybrid,1
EE 102,2022,Fall,Shreyas Kulkarni,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2022,Fall,Resa Kelly,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2022,Fall,Paul Sanghera,MW|09:00AM-10:15AM,In Person,0
EE 102,2022,Fall,Kaikai Liu,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2022,Fall,Bramarambika Puligilla,MW|09:00AM-10:15AM,Hybrid,0
EE 102,2022,Spring,Nader Mir,MW|09:00AM-10:15AM,Hybrid,1
EE 102,2022,Spring,Gina Quan,MW|09:00AM-10:15AM,In Person,0
EE 102,2022,Spring,David Taylor,TR|09:00AM-10:15AM,In Person,0
EE 102,2022,Spring,William Andreopoulos,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2022,Spring,Santosh Kc,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2022,Spring,Steven Rogalsky,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2023,Spring,Nader Mir,MW|09:00AM-10:15AM,Hybrid,1
EE 102,2023,Spring,Amulya Raavi,MW|09:00AM-10:15AM,In Person,0
EE 102,2023,Spring,Giang Le,MW|04:30PM-05:45PM,In Person,0
EE 102,2023,Spring,Saptarshi Sengupta,MW|09:00AM-10:15AM,In Person,0
EE 102,2023,Spring,Nalana La Framboise,MW|09:00AM-10:15AM,In Person,0
EE 102,2023,Spring,Bem Cayco,MW|09:00AM-10:15AM,Hybrid,0
EE 102,2024,Fall,Juzi Zhao,MW|09:00AM-10:15AM,In Person,1
EE 102,2024,Fall,Juzi Zhao,MW|04:30PM-05:45PM,In Person,1
EE 102,2024,Fall,Christopher Dizon,MW|09:00AM-10:15AM,In Person,0
EE 102,2024,Fall,Darrian Ellis-Hardin,TR|09:00AM-10:15AM,In Person,0
EE 102,2024,Fall,Patrick Murphy,MW|04:30PM-05:45PM,In Person,0
EE 102,2024,Fall,Elizabeth Migicovsky,MW|04:30PM-05:45PM,In Person,0
EE 102,2024,Fall,Staff,TR|09:00AM-10:15AM,In Person,0
EE 102,2024,Fall,Jordan Ellis,MW|09:00AM-10:15AM,In Person,0
EE 102,2024,Fall,Maryam Khazaei Pool,MW|04:30PM-05:45PM,In Person,0
EE 102,2024,Fall,Dhruv Jatinbhai Kapadia,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2024,Fall,Hao Thai,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2024,Fall,Pratik Korat,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2024,Spring,Eveline Bellegarda,MW|09:00AM-10:15AM,In Person,1
EE 102,2024,Spring,Juzi Zhao,MW|04:30PM-05:45PM,In Person,1
EE 102,2024,Spring,Au-Co Tran,MW|09:00AM-10:15AM,In Person,0
EE 102,2024,Spring,Bem Cayco,MW|09:00AM-10:15AM,In Person,0
EE 102,2024,Spring,Abbas Moallem,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2024,Spring,Mahima Agumbe Suresh / Ishie Eswar,MW|09:00AM-10:15AM,In Person,0
EE 102,2024,Spring,Rula Khayrallah,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2024,Spring,Pouya Ostovari,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2024,Spring,Amanda Smith,MW|09:00AM-10:15AM,Hybrid,0
EE 102,2024,Spring,Saptarshi Sengupta,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2024,Spring,Ben Reed,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2024,Spring,Dashiell Fryer,MW|09:00AM-10:15AM,In Person,0
EE 102,2025,Spring,Juzi Zhao,TR|09:00AM-10:15AM,In Person,1
EE 102,2025,Spring,Juzi Zhao,MW|09:00AM-10:15AM,In Person,1
EE 102,2025,Spring,Emiliano Lopez Ruiz,TR|09:00AM-10:15AM,In Person,0
EE 102,2025,Spring,Ranko Heindl,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2025,Spring,Nivedita Nair,MW|09:00AM-10:15AM,In Person,0
EE 102,2025,Spring,Wo-Tak Wu,MW|04:30PM-05:45PM,In Person,0
EE 102,2025,Spring,Jillian Murphy,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2025,Spring,Niloofar Salehi,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2025,Spring,Mohammed Yahdi,TR|09:00AM-10:15AM,Hybrid,0
EE 102,2025,Spring,Vikhyath Shankargari,TR|09:00AM-10:15AM,In Person,0
EE 102,2025,Spring,Ricky Koonming Chan,MW|04:30PM-05:45PM,Hybrid,0
EE 102,2025,Spring,Chi Phan,MW|04:30PM-05:45PM,Hybrid,0
EE 110,2022,Fall,Noel Dasi,F|01:30PM-04:15PM,In Person,1
EE 110,2022,Fall,Mahekkumar Mayankkumar Pavthawala,F|01:30PM-04:15PM,In Person,1
EE 110,2022,Fall,Hrishikesh Ravish,F|09:00AM-11:45AM,In Person,1
EE 110,2022,Fall,Jalel Rejeb,MW|03:00PM-04:15PM,In Person,1
EE 110,2022,Fall,Sanjukta Sheth,F|09:00AM-11:45AM,In Person,1
EE 110,2022,Fall,Allison Harness,MW|03:00PM-04:15PM,In Person,0
EE 110,2022,Fall,Karthik Bharadwaj Kunigal Raveendra,MW|03:00PM-04:15PM,In Person,0
EE 110,2022,Fall,Kourosh Youssefi,F|12:30PM-03:15PM,Hybrid,0
EE 110,2022,Fall,Rachel Turner,F|09:30AM-12:15PM,Hybrid,0
EE 110,2022,Fall,Shreeyukta Singh,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Fall,Craig England,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Fall,Michael Edgerton,F|01:30PM-04:15PM,In Person,0
EE 110,2022,Fall,William Andreopoulos,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Fall,Vakini Santhanakrishnan,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Fall,Nargis Adham,MW|03:00PM-04:15PM,In Person,0
EE 110,2022,Fall,Christopher Bankston,F|01:30PM-04:15PM,In Person,0
EE 110,2022,Fall,Chung-Wen Tsao,F|09:00AM-11:45AM,Hybrid,0
EE 110,2022,Fall,Bennett Haffner,F|01:30PM-04:15PM,In Person,0
EE 110,2022,Fall,Thuy Le / Chang Choo,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Fall,Minh Vu,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Fall,Jonas Fahrney,F|09:00AM-11:45AM,Hybrid,0
EE 110,2022,Fall,Pouya Ostovari,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Fall,Andrew Mcclure,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Fall,Smita Duorah,F|09:30AM-12:15PM,Hybrid,0
EE 110,2022,Fall,Sherri Harvey,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Fall,Padmavati Tanniru,F|01:30PM-04:15PM,In Person,0
EE 110,2022,Fall,Steven Morgan,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2022,Fall,Allison Stdennis,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Fall,Supreeta Amin,F|09:00AM-11:45AM,In Person,0
EE 110,2022,Fall,Kala Padmanabhan,F|09:30AM-12:15PM,Hybrid,0
EE 110,2022,Spring,Vrund Hetalkumar Shah,F|01:30PM-04:15PM,In Person,1
EE 110,2022,Spring,Poojan Bharatbhai Gandhi,F|01:30PM-04:15PM,In Person,1
EE 110,2022,Spring,Mahekkumar Mayankkumar Pavthawala,F|09:00AM-11:45AM,In Person,1
EE 110,2022,Spring,David Parent,MW|03:00PM-04:15PM,Hybrid,1
EE 110,2022,Spring,Hrishikesh Ravish,F|09:00AM-11:45AM,In Person,1
EE 110,2022,Spring,Colton Saylor,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Spring,Smita Duorah,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Alesya Petty,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Ahmet Bindal,F|12:30PM-03:15PM,Hybrid,0
EE 110,2022,Spring,Elizabeth Sonnier,F|09:00AM-11:45AM,Hybrid,0
EE 110,2022,Spring,Shawn Tran,MW|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Athanasios Hatzikoutelis / Daniel Olson,F|09:00AM-11:45AM,In Person,0
EE 110,2022,Spring,John Leih,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Spring,John Diniz,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Ben Reed,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2022,Spring,Shreeyukta Singh,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Heidi Eisips,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2022,Spring,Laksh Lavish Thakkar,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2022,Spring,John Diniz,F|12:30PM-03:15PM,Hybrid,0
EE 110,2022,Spring,Barbara Murphywesley,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Joseph Petsche,F|09:00AM-11:45AM,Hybrid,0
EE 110,2022,Spring,Allison Stdennis,MW|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Alexander Cabot,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Spring,Alex Vargas,TR|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Gregory Courand,MW|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Jonathan Miller / Hollianne Mcclure,MW|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Vasuda Bhatia,F|09:30AM-12:15PM,In Person,0
EE 110,2022,Spring,Zeyu Gao,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2022,Spring,John Diniz,MW|09:00AM-10:15AM,In Person,0
EE 110,2022,Spring,Vrund Hetalkumar Shah,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Fall,Meghna Shankar,F|01:30PM-04:15PM,In Person,1
EE 110,2023,Fall,Sai Vikram Adithya Bokka,F|09:00AM-11:45AM,In Person,1
EE 110,2023,Fall,Ping Hsu,MW|03:00PM-04:15PM,In Person,1
EE 110,2023,Fall,Nikhil Vaitla,F|01:30PM-04:15PM,In Person,1
EE 110,2023,Fall,David Parent,MW|03:00PM-04:15PM,In Person,1
EE 110,2023,Fall,Roshni Dhandamudi,F|09:00AM-11:45AM,In Person,1
EE 110,2023,Fall,Wo-Tak Wu,F|09:30AM-12:15PM,Hybrid,0
EE 110,2023,Fall,Nithin Reddy Govindugari,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Fall,Spoorthy Ananthaiah,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Fall,Amanda Smith,F|09:30AM-12:15PM,Hybrid,0
EE 110,2023,Fall,Bennett Haffner,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Fall,Lining Wang,F|12:30PM-03:15PM,Hybrid,0
EE 110,2023,Fall,Alla Petrosyan,F|09:30AM-12:15PM,In Person,0
EE 110,2023,Fall,Sai Prasanna Kumar Varikallu,F|12:30PM-03:15PM,Hybrid,0
EE 110,2023,Fall,Cristina Tortora,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Fall,Lee Patterson,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Fall,Craig England,MW|03:00PM-04:15PM,In Person,0
EE 110,2023,Fall,Kaushik Patra,F|09:00AM-11:45AM,Hybrid,0
EE 110,2023,Fall,Kevin Moore,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Fall,Rachel Turner,TR|09:00AM-10:15AM,In Person,0
EE 110,2023,Fall,Sreeja Manda,F|09:00AM-11:45AM,Hybrid,0
EE 110,2023,Fall,Emi Ishida,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Fall,Addie Mahmassani,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Fall,Chao-Li Tarng,TR|09:00AM-10:15AM,In Person,0
EE 110,2023,Fall,Sai Prasanna Kumar Varikallu,MW|09:00AM-10:15AM,In Person,0
EE 110,2023,Fall,Apoorva Mohite,MW|09:00AM-10:15AM,In Person,0
EE 110,2023,Fall,Andrea Gottlieb,F|09:00AM-11:45AM,In Person,0
EE 110,2023,Fall,Craig England,F|01:30PM-04:15PM,Hybrid,0
EE 110,2023,Fall,Ahmed Ezzat,F|12:30PM-03:15PM,Hybrid,0
EE 110,2023,Fall,Paul Houck,MW|03:00PM-04:15PM,In Person,0
EE 110,2023,Fall,Jillian Murphy,F|01:30PM-04:15PM,In Person,0
EE 110,2023,Fall,Paul Houck,TR|09:00AM-10:15AM,In Person,0
EE 110,2023,Fall,Deeptiman Kaushik,F|09:00AM-11:45AM,In Person,0
EE 110,2023,Fall,Santosh Kc,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Fall,Essam Marouf,MW|09:00AM-10:15AM,In Person,0
EE 110,2023,Fall,Medha Bodas,TR|09:00AM-10:15AM,In Person,0
EE 110,2023,Spring,Sai Vikram Adithya Bokka,F|09:00AM-11:45AM,In Person,1
EE 110,2023,Spring,Noel Smith Dasi,F|01:30PM-04:15PM,In Person,1
EE 110,2023,Spring,Noel Smith Dasi,F|09:00AM-11:45AM,In Person,1
EE 110,2023,Spring,Albert Chang,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Spring,Alesya Petty,F|09:00AM-11:45AM,In Person,0
EE 110,2023,Spring,Rahul Balakrishna Balasubramaniam,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Spring,Noel Smith Dasi,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Spring,Niranjani Patel,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2023,Spring,Iftiza Ahmed Shovon,F|12:30PM-03:15PM,Hybrid,0
EE 110,2023,Spring,David Santiago,F|09:30AM-12:15PM,Hybrid,0
EE 110,2023,Spring,Chao-Li Tarng,F|12:30PM-03:15PM,Hybrid,0
EE 110,2023,Spring,Saicharan Reddy Kadari,F|12:30PM-03:15PM,In Person,0
EE 110,2023,Spring,Kala Padmanabhan,F|01:30PM-04:15PM,Hybrid,0
EE 110,2023,Spring,Gregory Courand,MW|09:00AM-10:15AM,In Person,0
EE 110,2023,Spring,Victor Maraschin,MW|09:00AM-10:15AM,In Person,0
EE 110,2023,Spring,K Ghadiri,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2023,Spring,Victor Maraschin,TR|09:00AM-10:15AM,In Person,0
EE 110,2023,Spring,Loc Lam,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2024,Fall,Pranjali Sanghvi,F|09:30AM-12:15PM,In Person,1
EE 110,2024,Fall,David Parent,MW|03:00PM-04:15PM,In Person,1
EE 110,2024,Fall,Soham Kapasi,F|09:30AM-12:15PM,In Person,1
EE 110,2024,Fall,Mahathi Sritha Gudimella,F|12:30PM-03:15PM,In Person,1
EE 110,2024,Fall,S V S Siva Narayana Naga Sesha Kollepara,F|12:30PM-03:15PM,In Person,1
EE 110,2024,Fall,Eveline Bellegarda,TR|09:00AM-10:15AM,In Person,1
EE 110,2024,Fall,Tony Pan,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2024,Fall,Michael Lam,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2024,Fall,Olga Kovaleva,F|09:00AM-11:45AM,In Person,0
EE 110,2024,Fall,K Ghadiri,F|09:30AM-12:15PM,In Person,0
EE 110,2024,Fall,Wasin So,F|12:30PM-03:15PM,In Person,0
EE 110,2024,Fall,Daniel Brinkman,F|09:30AM-12:15PM,Hybrid,0
EE 110,2024,Fall,Melody Esfandiari,F|01:30PM-04:15PM,In Person,0
EE 110,2024,Fall,Glenn Friedman,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2024,Fall,Chi Phan,MW|03:00PM-04:15PM,In Person,0
EE 110,2024,Fall,Kenneth Wharton,F|12:30PM-03:15PM,Hybrid,0
EE 110,2024,Fall,John Diniz,MW|09:00AM-10:15AM,In Person,0
EE 110,2024,Fall,Shireen Faraha Shaik,F|09:00AM-11:45AM,Hybrid,0
EE 110,2024,Fall,Kay Liou,F|09:00AM-11:45AM,In Person,0
EE 110,2024,Fall,Ahmad Yazdankhah,F|09:00AM-11:45AM,Hybrid,0
EE 110,2024,Fall,Wencen Wu,F|12:30PM-03:15PM,Hybrid,0
EE 110,2024,Fall,Sathvika Mamidi,F|12:30PM-03:15PM,Hybrid,0
EE 110,2024,Fall,Ram Nallamatti,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2024,Fall,Allison Harness,F|01:30PM-04:15PM,Hybrid,0
EE 110,2024,Fall,Laura Kapitzky,F|12:30PM-03:15PM,Hybrid,0
EE 110,2024,Fall,Jane Berg,F|12:30PM-03:15PM,Hybrid,0
EE 110,2024,Fall,Essam Marouf,TR|09:00AM-10:15AM,In Person,0
EE 110,2024,Fall,Bhawandeep Singh Harsh / Shireen Faraha Shaik,MW|09:00AM-10:15AM,In Person,0
EE 110,2024,Fall,Edric Dabu,F|09:30AM-12:15PM,In Person,0
EE 110,2024,Fall,Thuy Le / Sotoudeh Hamedi-Hagh,F|09:00AM-11:45AM,Hybrid,0
EE 110,2024,Fall,Wo-Tak Wu,F|09:30AM-12:15PM,In Person,0
EE 110,2024,Fall,Doug Case,F|12:30PM-03:15PM,In Person,0
EE 110,2024,Fall,Gregory Courand,F|01:30PM-04:15PM,Hybrid,0
EE 110,2024,Fall,Rula Khayrallah,TR|09:00AM-10:15AM,In Person,0
EE 110,2024,Fall,Pouya Ostovari,F|09:30AM-12:15PM,In Person,0
EE 110,2024,Fall,Bonnie Hsia,TR|09:00AM-10:15AM,In Person,0
EE 110,2024,Spring,Nikhil Vaitla,F|12:30PM-03:15PM,In Person,1
EE 110,2024,Spring,Sai Vikram Adithya Bokka,F|09:30AM-12:15PM,In Person,1
EE 110,2024,Spring,Tan Nguyen,MW|03:00PM-04:15PM,In Person,1
EE 110,2024,Spring,David Parent,MW|03:00PM-04:15PM,In Person,1
EE 110,2024,Spring,Anant Shukla,F|09:30AM-12:15PM,Hybrid,0
EE 110,2024,Spring,Eric Vanuska,F|09:30AM-12:15PM,Hybrid,0
EE 110,2024,Spring,Edric Dabu,F|01:30PM-04:15PM,In Person,0
EE 110,2024,Spring,Karen Liou,TR|09:00AM-10:15AM,In Person,0
EE 110,2024,Spring,Robert Meyer / Ryan Portner,F|09:00AM-11:45AM,In Person,0
EE 110,2024,Spring,Bhawandeep Singh Harsh,MW|09:00AM-10:15AM,In Person,0
EE 110,2024,Spring,Martina Bremer,F|01:30PM-04:15PM,In Person,0
EE 110,2024,Spring,Genevieve Nguyen,MW|03:00PM-04:15PM,In Person,0
EE 110,2024,Spring,Gregory Tomlinson,F|09:30AM-12:15PM,Hybrid,0
EE 110,2024,Spring,Olenka Hubickyj,F|01:30PM-04:15PM,Hybrid,0
EE 110,2024,Spring,Daniel Brinkman,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2024,Spring,Brandon Barrios,F|01:30PM-04:15PM,Hybrid,0
EE 110,2024,Spring,Stephanie Stepp,F|12:30PM-03:15PM,In Person,0
EE 110,2024,Spring,Nikhil Vaitla,MW|03:00PM-04:15PM,In Person,0
EE 110,2024,Spring,Thuy Le / Chang Choo,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2024,Spring,Faranak Abri,TR|09:00AM-10:15AM,In Person,0
EE 110,2024,Spring,Lin Zou,TR|09:00AM-10:15AM,In Person,0
EE 110,2024,Spring,Niloofar Salehi,F|01:30PM-04:15PM,Hybrid,0
EE 110,2024,Spring,Sai Prasanna Kumar Varikallu,MW|09:00AM-10:15AM,In Person,0
EE 110,2024,Spring,Niloofar Salehi,F|09:30AM-12:15PM,In Person,0
EE 110,2025,Spring,David Parent,MW|09:00AM-10:15AM,In Person,1
EE 110,2025,Spring,S V S Siva Narayana Naga Sesha Kollepara,F|12:30PM-03:15PM,In Person,1
EE 110,2025,Spring,Pranjali Sanghvi,F|09:30AM-12:15PM,In Person,1
EE 110,2025,Spring,Pranjali Sanghvi,F|12:30PM-03:15PM,In Person,1
EE 110,2025,Spring,Olenka Hubickyj,F|09:30AM-12:15PM,Hybrid,0
EE 110,2025,Spring,Bala Meghana Shivani Sripathi Panditharadhyula,TR|09:00AM-10:15AM,Hybrid,0
EE 110,2025,Spring,Thuy Le / Juzi Zhao,F|09:30AM-12:15PM,In Person,0
EE 110,2025,Spring,Tyler Morales,F|09:30AM-12:15PM,Hybrid,0
EE 110,2025,Spring,K Ghadiri,F|01:30PM-04:15PM,In Person,0
EE 110,2025,Spring,Xiao Wang,MW|09:00AM-10:15AM,Hybrid,0
EE 110,2025,Spring,Jeffrey Beckstrand,F|09:30AM-12:15PM,Hybrid,0
EE 110,2025,Spring,Christopher Bankston,F|09:00AM-11:45AM,Hybrid,0
EE 110,2025,Spring,Sophie Aust,F|01:30PM-04:15PM,In Person,0
EE 110,2025,Spring,Bonnie Hsia,F|01:30PM-04:15PM,Hybrid,0
EE 110,2025,Spring,Misako Van Der Poel,F|12:30PM-03:15PM,Hybrid,0
EE 110,2025,Spring,Pratik Korat,MW|09:00AM-10:15AM,In Person,0
EE 110,2025,Spring,Manvendrasinh Sisodia,MW|03:00PM-04:15PM,In Person,0
EE 110,2025,Spring,Zeyu Gao,F|12:30PM-03:15PM,Hybrid,0
EE 110,2025,Spring,Naga Vardhan Maddala,F|12:30PM-03:15PM,In Person,0
EE 110,2025,Spring,Karen Moody,F|09:00AM-11:45AM,In Person,0
EE 110,2025,Spring,Abbas Moallem,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2025,Spring,Seshadri Paravastu,MW|03:00PM-04:15PM,Hybrid,0
EE 110,2025,Spring,Jesse Geneson,F|09:00AM-11:45AM,Hybrid,0
EE 110,2025,Spring,Dan Xiao,F|12:30PM-03:15PM,Hybrid,0
